Restaurant Name,Rating,Category,Address
Snack Bar Saint-Jean,4.6,Comfort Food,"780 Rue Saint-Jean, Québec, QC G1R"
McDonald's (Hamel),4.5,Burgers,"590, Boul. Wilfrid-Hamel, Québec, QC G1M 2T3"
Les Aliments M&M (Quebec-de l'Ormière),New,Grocery,"9465 Boulevard De L'Ormiere, Quebec City, NAMER G2B3Z6"
Walmart (550 Wilfrid-Hamel Blvd),New,Grocery,"550 Boulevard Wilfrid-Hamel, Québec, Québec G1M 2S6"
Metro (707 Boulevard Charest O),4.4,Grocery,"707 Boulevard Charest O, Quebec, NAMER G1N 4P6"
Super C (475 Soumande St),4.5,Grocery,"475 Soumande St, Quebec, NAMER G1M 1R4"
Adonis (1700 Rue Bouvier),4.4,Grocery,"1700 Rue Bouvier, Quebec, NAMER G2K 1N8"
Animalerie Dyno (Vanier),New,pet supplies,"345 Rue Soumande, Québec, Québec G1M 1A5"
Animalerie Dyno (Ste Foy),New,pet supplies,"7037 Boulevard Wilfrid-Hamel Québec, Qc G2g 0j5 Canada,"
Animalerie Dyno (Neufchâtel),New,pet supplies,"8925 Boulevard De L'Ormière, Québec, Québec G2C 1C4"
Costco (440 Rue Bouvier),4.7,Grocery,"440 Rue Bouvier, Quebec, QC G2J 1E3"
Holy Burgers (Pyramide),4.7,Burgers,"2360 Ch Ste-Foy, Ville De Quebec, Quebec G1V"
Le Subtil (Lebourgneuf),5.0,Sandwich,"1120 Boulevard Lebourgneuf Québec, Qc G2K"
Starbucks (Ste-Foy & Neree-Tremblay),4.6,Bakery,"2360 Chemin Ste-Foy Centre Commercial Innovation G025, Quebec, QC G1V 4H2"
A&W (597 Boul Wilfrid-Hamel),4.4,Fast food,"597 Boulevard Wilfrid Hamel, Québec, QC G1M 2T2"
Subway (696 St-Vallier O.),4.9,American,"696 St-Vallier O., Québec, QC G1N 1C8"
Le Subtil (Rue Grandjean),4.8,Sandwich,"893 Rue Grandjean, Quebec, QC G1X 4G8"
Harvey's (Limoilou / Charlesbourg),4.4,Burgers,"159 41e Rue O, Ville De Québec, Québec G1H 2S2"
New York Style Sandwich Shop,4.3,Ice Cream & Frozen Yogurt,"121 Rue Dalhousie, Quebec, QC G1K 9C8"
Marché Express 41469 | 425 Marais,New,Home & Personal Care,"425 Marais, Québec (Vanier), QC G1M 3A2"
Fastoche Sandwicherie,4.8,Sandwiches,"1191 Avenue Cartier, Québec, QC G1R 2S9"
Pizzéria No.900 (Montcalm),4.7,Pizza,"120 Boulevard René-Lévesque Ouest, Quebec, QC G1R 2A5"
Chocolats Favoris (Cartier),4.4,Desserts,"85 Boulevard René-Lévesque O, Québec, Qc G1r 2a3, Canada, Quebec, QC G1R2A3"
St-Hubert (Grande Allée Est),4.7,American,"693 Rue Grande Allee Est, Quebec, QC G1R"
Brûlerie Rousseau (Campus Ste-Foy),New,Breakfast and brunch,"2377 Chemin Sainte-Foy Québec, Qc G1v 1t1 Canada,"
Thaizone (Sainte-Foy),4.4,Thai,"2360 Ch Ste-Foy, Québec, QC G1V"
Boston Pizza (Ste-Foy),4.5,Pizza,"2300 Ch Ste-Foy, Québec, QC G1V 1S5"
Grillades Torino (Galeries la Capitale),4.6,BBQ,"5401 Boulevard Des Galeries, Ville De Québec, Québec G2K 1N4"
Centrale Bergham (Pyramide),4.4,Burgers,"2360 Ch Ste-Foy, Ville De Québec, Québec G1V"
Delli Libanais,4.7,American,"3333 Rue Du Carrefour, Québec, Qc G1C"
Benny&Co. (Charlesbourg),4.3,Comfort food,"300 Rue George-Muir, Quebec, QC G2N 1L2"
Restaurant Normandin (Boulevard Charest O),4.5,Pizza,"709 Boulevard Charest O,, Quebec City, NAMER G1N 4P5,"
Dattes et olives,4.2,Mediterranean,"3245 Ch Ste-Foy, Québec, QC G1X 1R8"
"Tim Horton's (589, Boul. Wilfrid-Hamel)",4.5,Bakery,"589 Boul. Wilfrid-Hamel, Quebec, QC G1M 2T2"
Chez Victor (St-Jean),4.6,Burgers,"145 Rue Saint-Jean, Ville De Québec, Québec G1R 2X2"
Rôtisserie Fusée (Loretteville),4.5,Comfort food,"10290 Boulevard De L'Ormière, Quebec, QC G2B 3L3"
Krispy Kreme (LeBourgneuf Blvd.),4.7,Desserts,"1560 Lebourgneuf Blvd., Quebec, QC G2K"
Pizza Pizza (1345 Chemin Ste. Foy),4.6,pizza,"1345 Chemin Ste-Foy, Quebec, QC G1S 2N2"
Jumelles Pizza,4.6,Pizza,"833 Avenue Myrand, Québec, QC G1V 2V8"
Les Rôtisseries Benny (840 rue Bouvier),4.3,Comfort food,"840 Rue Bouvier #107, Quebec City, QC G2J 1A3"
M. Souvlaki (Galeries de la Capitale),4.0,Greek,"5401 Boulevard Des Galeries, Ville De Québec, Qc G2k 1n4, Canada, Québec G2K 1N4"
Sushiman (Laurier),New,Asian,"2740 Boul Laurier Niveau 3, Ste-Foy, QC G1V 2L8"
La Calebasse,4.4,African,"969 Avenue Myrand, Quebec, QC G1V 2W1"
Pacini (Ste-Foy),4.5,Italian,"999 Av De Bourgogne, Quebec, Quebec G1W"
Topla! Ste-Foy (Pyramide),4.2,Pasta,"2360 Chemin Sainte-Foy, Québec, QC G1V 4H2"
Jugo Juice (Laurier),New,Kid friendly,"2700 Boulevard Laurier 285, Québec, QC G1V"
Scores (Maurice Duplessis),4.7,BBQ,"1160, Autoroute Maurice Duplessis, Sainte-Foy, QC G2G"
Pizza Charest,New,Pizza,"2485 Boulevard Ste-Anne, Quebec, QC G1L"
Kuto comptoir à tartares (Neufchâtel),4.7,Mexican,"9065 Boulevard De L'Ormière, Québec, Qc G2B"
Cafe Depot - Quebec City,3.9,Breakfast and brunch,"1381 1re Avenue, Québec, NAMER G1L 3L2"
Marmiton Pizza (QUEBEC),New,Pizza,"6655 Boulevard Pierre-Bertrand, Quebec, QC G2K"
Pizza Salvatoré (Ste Foy) (2),4.5,American,"2377 Chemin Sainte-Foy, Quebec, QC G1V 1T1"
La Cuisine Boulet,4.7,Burgers,"9736 Boulevard De L'Ormiere, Ville De Quebec, Quebec G2B"
Freshii (47 René-Lévesque),4.6,Bowls,"47 Boulevard René-Lévesque E, Ville De Québec, QC G1R 2C3"
Pizza Ramos,4.7,Pizza,"739 Rue Saint-Bernard, Quebec, QC G1N"
Grillades Torino (Duplessis),4.8,Middle Eastern,"1270 Autoroute Duplessis, 102, Québec, NAMER G2G 2B5"
Zeus Gyros Grec (Av. Cartier),4.8,Mediterranean,"1032 Avenue Cartier Québec, Québec G1r 2s4 Canada,"
Welat 2 Pour 1 Pizza,4.6,Pizza,"345 Rue Saint-Joseph Est, Québec, NAMER G1K"
Pizza Miam's,4.6,Italian,"2500 Chemin Des Quatre-Bourgeois, Québec, QC G1V 4P9"
Sushi X (Cartier),4.3,Japanese,"1019 Avenue Cartier, Quebec, QC G1R 2S3"
Shogun Sushi,4.3,Sushi,"2815 Boulevard Laurier, Québec, QC G1V 4H3"
Bières et Frites (Ste-Foy),4.5,Poutine,"550 Rue Du Marais, Québec, QC G1M 3R1"
La Cage (Ancienne-Lorette),4.7,Comfort food,"6476, Boulevard Hamel O, AncienneLorette, QC G2E"
Cinéma Cineplex IMAX aux Galeries de la Capitale,4.7,Fast food,"5401, Boul. Des Galeries, Quebec, QC G2K 1N4"
Thai Express (Couronne),4.5,Thai,"440 Rue De La Couronne, Ville De Québec, QC G1K 9M5"
Café Les Cousins,4.8,Coffee & tea,"1029 Avenue Cartier, Québec, NAMER G1R"
La Galette Libanaise (St. Joseph),4.9,Middle Eastern,"557 Rue Saint-Joseph Est, Quebec, QC G1K 3B7"
Regal Kreyol Resto,4.3,Caribbean,"1388 Ch Ste-Foy, Québec, Qc G1S 2N6"
Kim boba,4.7,Asian,"2821 Avenue Saint-David, Quebec, QC G1C 0J3"
La Baraque à Frites,4.8,Traditional American,"334 Rue Marie-De-L'Incarnation, Quebec, QC G1N 3G6"
Toyo,4.6,Asian,"3333 Rue Du Carrefour, Quebec, QC G1C"
Sushi Taxi (Ste-Foy),4.3,Japanese,"1001 Route De L'Église, Quebec, QC G1V 3V7"
Quesada Burritos and Tacos (Boulevard Hamel),4.6,Tex Mex,"575, Boulevard Hamel, Québec City, QC G1M 2T2"
Sushi Shop (615 Blvd. Wilfrid-Hamel) - Québec,New,Japanese,"615 Boulevard Wilfrid-Hamel, #621b, Québec, QC G1M 2T4"
Zeitoun Cuisine Libanaise,New,Lebanese,"250 Boulevard Wilfrid-Hamel, Quebec, QC G1L 5A7"
Rock'n Deli (Capitale),New,Sandwiches,"5401 Boulevard Des Galeries, Ville De Québec, Qc G2k 1n4, Canada, Québec G2K 1N4"
L'Essentiel Marché Express - FC Gourmet,4.1,Halal,"2276 Ch Ste-Foy, Québec, Qc G1V 1S7"
Café La Maison Smith (Chemin St-Louis),New,Juice & Smoothies,"2012 Chemin Saint-Louis, Quebec, QC G1T 1P1"
Piment Vert (Le Plateau),New,Burgers,"1750 Rue Du Périgord, Quebec, QC G1G 5X3"
La Chaude Assiette,New,American,"8500 Boulevard Henri-Bourassa, Quebec, QC G1G"
