restaurant_name,price_range,rating,total_reviews,category,location,province,address
Lady of the Lake Cafe & Pub,$$,4.1 ,13,Juice Bars & Smoothies,brandon,MB,"135 17th Street N Brandon, MB R7A 1G6 Canada"
Chilli Chutney,$$,4.7 ,15,Indian,brandon,MB,"555 34 Street Brandon, MB R7B 3P8 Canada"
The Dock on Princess,$$,2.8 ,16,Bars,brandon,MB,"1133 Princess Avenue Brandon, MB R7A 0R1 Canada"
The Keg Steakhouse + Bar - Brandon,$$$,3.7 ,14,Steakhouses,brandon,MB,"1836 Brandon Ave Brandon, MB R7B 3G8 Canada"
QDOBA Mexican Eats,$,3.8 ,6,Mexican,brandon,MB,"2-1830 Park Ave Brandon, MB R7B 0R9 Canada"
Echo Restaurant And Wine Bar,$$$,2.0 ,6,Canadian (New),brandon,MB,"Clarion Hotel & Suites 3130 Victoria Avenue Brandon, MB R7B 3Y3 Canada"
Tana Ethiopia Cuisine,$$,5.0 ,1,Ethiopian,brandon,MB,"302 10th Street Brandon, MB R7A 4G1 Canada"
Joe Beeverz Bar and Grill,$$,2.6 ,9,Burgers,brandon,MB,"1300 18th Street Suite 20 Brandon, MB R7A 6X7 Canada"
Tastees Ice Cream & Grill,$$,4.0 ,6,Burgers,brandon,MB,"1405 1st Street Brandon, MB R7A 2Y7 Canada"
Romana Pizza,$,4.1 ,7,Pizza,brandon,MB,"39 9th Street Brandon, MB R7A 4A3 Canada"
Pizza Express,$$,2.5 ,4,Pizza,brandon,MB,"360 10th Street Brandon, MB R7A 4G1 Canada"
Subway,$$,2.3 ,4,Sandwiches,brandon,MB,"1060 18th Street Brandon, MB R7A 5C1 Canada"
Boston Pizza,$$$,1.9 ,10,Pizza,brandon,MB,"2-1140 Richmond Avenue Brandon, MB R7A 1M6 Canada"
Boston Pizza,$$$,1.9 ,10,Pizza,brandon,MB,"2040 Marshall Lane Brandon, MB R7C 0C9 Canada"
A&W,$$,4.4 ,5,Fast Food,brandon,MB,"1260 18th Street Unit A, Across from Keystone Brandon, MB R7A 5C3 Canada"
KFC,$$$,1.0 ,4,Chicken Wings,brandon,MB,"2-1350 18th Street Brandon, MB R7A 5C4 Canada"
Little Italy Pizzeria,$,3.3 ,4,Pizza,brandon,MB,"305 10th Street Brandon, MB R7A 4E9 Canada"
Aaltos Garden Cafe,$,1.8 ,5,Canadian (New),brandon,MB,"1125 18th Street Brandon, MB R7A 7C5 Canada"
Pizza Hut,$$,3.5 ,6,Pizza,brandon,MB,"1860 18th Street N Brandon, MB R7C 1A5 Canada"
Pizza Hut,$$,3.5 ,6,Pizza,brandon,MB,"860 18th Street Brandon, MB R7A 5B7 Canada"
A&W,$$$,1.0 ,1,Fast Food,brandon,MB,"1570 18th Street Brandon Shopper's Mall (Food Court) Brandon, MB R7A 5C5 Canada"
